path	symbol_pattern	domain	normal_action
src/build/codegen_component_async.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_component_owned_record_nested_stream_producer.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_component_owned_record_pair_stream_producer.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_component_owned_record_stream_producer.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_component_owned_record_triple_stream_producer.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_component_parameterized_owned_record_pair_stream_producer.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_emit_call.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_emit_call.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_emit_control.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_emit_control.zig	arc-overwrite	do_managed_value	replace_with_gc
src/build/codegen_emit_control.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_emit_expression.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_emit_storage_operations.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_emit_storage_operations.zig	arc-overwrite	do_managed_value	replace_with_gc
src/build/codegen_emit_storage_values.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_emit_storage_values.zig	arc-overwrite	do_managed_value	replace_with_gc
src/build/codegen_emit_storage_values.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_emit_struct.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_emit_struct.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_emit_struct_fields.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_emit_struct_fields.zig	arc-overwrite	do_managed_value	replace_with_gc
src/build/codegen_emit_struct_fields.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_emit_tuple.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_emit_union.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_emit_union.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_emit_wasi.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_gc_emit_test.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_gc_sync.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_generics.zig	codegen_ownership	do_managed_value	replace_with_gc
src/build/codegen_ownership.zig	__arc_	do_managed_value	replace_with_gc
src/build/codegen_ownership.zig	arc-block-release	do_managed_value	replace_with_gc
src/build/codegen_ownership.zig	arc-fallthrough-release	do_managed_value	replace_with_gc
src/build/codegen_ownership.zig	arc-overwrite	do_managed_value	replace_with_gc
src/build/codegen_ownership.zig	arc-release	do_managed_value	replace_with_gc
src/build/codegen_pipeline.zig	__arc_	test_oracle	isolate_test_only
src/build/codegen_pipeline.zig	emit_arc_runtime_prelude	do_managed_value	replace_with_gc
src/build/runtime_arc_wat.zig	__arc_	test_oracle	isolate_test_only
src/build/runtime_arc_wat.zig	arc-layout	test_oracle	isolate_test_only
src/build/runtime_arc_wat.zig	arc-runtime	test_oracle	isolate_test_only
src/build/runtime_arc_wat.zig	emit_arc_runtime_prelude	test_oracle	isolate_test_only
src/build/runtime_prelude_wat.zig	arc-layout	test_oracle	isolate_test_only
src/build/runtime_prelude_wat.zig	arc-runtime	test_oracle	isolate_test_only
src/build/runtime_prelude_wat.zig	emit_arc_runtime_prelude	test_oracle	isolate_test_only
src/build/runtime_prelude_wat.zig	runtime_arc_wat	test_oracle	isolate_test_only
src/build/test/test_harness.zig	__arc_	test_oracle	isolate_test_only
src/build/wat_payload.zig	__arc_	do_managed_value	replace_with_gc
src/build/wat_storage.zig	__arc_	do_managed_value	replace_with_gc
